id_com;name_com;id_cercle
0;GADOUGOU 1;5
0;GADOUGOU 1;5
0;GADOUGOU 1;5
0;GADOUGOU 1;5
0;GADOUGOU 1;5
1;GADOUGOU 2;5
1;GADOUGOU 2;5
1;GADOUGOU 2;5
1;GADOUGOU 2;5
1;GADOUGOU 2;5
1;GADOUGOU 2;5
2;GUEMOUKOURABA;5
2;GUEMOUKOURABA;5
2;GUEMOUKOURABA;5
2;GUEMOUKOURABA;5
2;GUEMOUKOURABA;5
3;KASSARO;5
3;KASSARO;5
3;KASSARO;5
3;KASSARO;5
3;KASSARO;5
3;KASSARO;5
3;KASSARO;5
3;KASSARO;5
3;KASSARO;5
3;KASSARO;5
3;KASSARO;5
3;KASSARO;5
3;KASSARO;5
3;KASSARO;5
3;KASSARO;5
3;KASSARO;5
3;KASSARO;5
4;KITA NORD;5
4;KITA NORD;5
4;KITA NORD;5
4;KITA NORD;5
4;KITA NORD;5
4;KITA NORD;5
4;KITA NORD;5
4;KITA NORD;5
5;KITA OUEST;5
5;KITA OUEST;5
5;KITA OUEST;5
5;KITA OUEST;5
5;KITA OUEST;5
5;KITA OUEST;5
5;KITA OUEST;5
5;KITA OUEST;5
5;KITA OUEST;5
5;KITA OUEST;5
5;KITA OUEST;5
5;KITA OUEST;5
5;KITA OUEST;5
5;KITA OUEST;5
5;KITA OUEST;5
5;KITA OUEST;5
5;KITA OUEST;5
5;KITA OUEST;5
5;KITA OUEST;5
6;KOBRI;5
6;KOBRI;5
6;KOBRI;5
6;KOBRI;5
6;KOBRI;5
6;KOBRI;5
6;KOBRI;5
6;KOBRI;5
6;KOBRI;5
6;KOBRI;5
6;KOBRI;5
6;KOBRI;5
6;KOBRI;5
6;KOBRI;5
6;KOBRI;5
6;KOBRI;5
7;KOKOFATA;5
7;KOKOFATA;5
7;KOKOFATA;5
7;KOKOFATA;5
7;KOKOFATA;5
7;KOKOFATA;5
7;KOKOFATA;5
7;KOKOFATA;5
7;KOKOFATA;5
7;KOKOFATA;5
7;KOKOFATA;5
7;KOKOFATA;5
7;KOKOFATA;5
7;KOKOFATA;5
7;KOKOFATA;5
7;KOKOFATA;5
7;KOKOFATA;5
8;KOTOUBA;5
8;KOTOUBA;5
8;KOTOUBA;5
8;KOTOUBA;5
8;KOTOUBA;5
8;KOTOUBA;5
9;KOULOU;5
9;KOULOU;5
9;KOULOU;5
9;KOULOU;5
9;KOULOU;5
9;KOULOU;5
9;KOULOU;5
9;KOULOU;5
9;KOULOU;5
9;KOULOU;5
0;KOUROUNINKOTO;5
1;MADINA;5
1;MADINA;5
1;MADINA;5
1;MADINA;5
1;MADINA;5
1;MADINA;5
1;MADINA;5
1;MADINA;5
1;MADINA;5
1;MADINA;5
2;MAKANO;5
2;MAKANO;5
2;MAKANO;5
2;MAKANO;5
2;MAKANO;5
2;MAKANO;5
2;MAKANO;5
2;MAKANO;5
2;MAKANO;5
2;MAKANO;5
2;MAKANO;5
2;MAKANO;5
2;MAKANO;5
2;MAKANO;5
2;MAKANO;5
